Platform;Post ID;Post Type;Post Content;Likes;Comments;Shares;Impressions;Reach;Engagement Rate;Audience Age;Audience Gender;Audience Location;Audience Interests;Sentiment
Instagram;16ce29c5-2dc7-478f-9814-a86754f3ce8b;Video;Increase fast partner south.;908;125;85;1223;3884;28.78;48;Male;Greece;population;Neutral
Instagram;6a6cc741-72f4-4111-95a0-c5ee04a175a8;Video;Lawyer behavior born window couple sister.;412;419;58;2165;849;104.71;55;Male;United States Virgin Islands;himself;Neutral
Facebook;0922ea18-ea90-4302-b126-bd95f85a0926;Video;Vote American state change simply cup.;510;438;110;3871;2667;39.67;59;Female;Djibouti;she;Neutral
Instagram;80415748-a509-4fc6-8b55-74f2babe5dac;Image;Town find identify game your.;870;92;15;1377;4829;20.23;48;Male;Sudan;money;Positive
Instagram;4455db75-4f0c-4781-b2bc-92534300689b;Link;Reduce theory upon else someone significant which century.;322;195;146;7970;3477;19.07;47;Female;Nepal;however;Negative
Facebook;155695e8-1195-46bb-b5c3-0d93d8ecbb23;Link;Ground board after read.;632;267;58;4463;3020;31.69;33;Male;United States Minor Outlying Islands;page;Neutral
Instagram;12ed0666-b7ef-41ba-95e0-301508cefb74;Link;Half see campaign many door increase animal.;210;49;86;9224;3443;10.02;65;Female;Slovakia (Slovak Republic);north;Neutral
Twitter;a34fccfb-f65f-4bee-b792-c90c747926b3;Link;Authority almost leader case worker few interesting agree.;838;308;102;3459;2125;58.73;44;Male;Reunion;travel;Positive
LinkedIn;14d34185-639a-4508-a8b6-02a743fe0dbc;Link;Seem strategy you cup.;573;192;19;1949;2797;28.03;40;Male;Gabon;part;Negative
Twitter;3e8a3f4a-cce1-4ad2-b0ab-e981bff6e10f;Image;Approach car movie husband main his.;816;206;52;6827;501;214.37;47;Male;Pitcairn Islands;expect;Neutral
Instagram;0c0c6343-8950-454f-9232-df4ca691e295;Video;Cause right process while by suddenly.;497;67;26;9628;4876;12.10;35;Female;Kiribati;American;Negative
Instagram;8c2cb087-24b0-4b94-a431-54a3e4287403;Video;Fight half reveal safe order work.;455;365;57;9250;2309;37.98;35;Male;Cocos (Keeling) Islands;forward;Negative
Facebook;35ba37ae-7b67-46ba-8d6a-71a811739ff8;Video;Adult character admit.;430;301;146;3606;1056;83.05;53;Male;Aruba;door;Neutral
LinkedIn;85a05754-cca1-4044-bb53-7d60a5251f95;Link;Herself list prove whom glass training.;979;464;53;9541;3937;38.00;37;Male;Somalia;fact;Positive
Instagram;253c95f7-431d-4fb6-9714-f2ed7e88ffd5;Image;She significant agreement.;272;214;200;7410;3635;18.87;64;Female;Liechtenstein;on;Neutral
Twitter;d38fb961-2499-4488-a127-b6624e63f4dd;Image;Late event guess price.;973;309;164;3404;3917;36.92;34;Female;Moldova;husband;Neutral
LinkedIn;5551a96f-6aa0-47b7-981c-8bb5c8df348c;Image;Individual because energy eight collection nor.;917;136;126;9599;798;147.74;40;Female;Malaysia;next;Neutral
Facebook;04d1232c-6dee-4a6e-8760-d86df5425f2c;Link;Guy scientist bad long discuss science.;177;301;88;9898;1080;52.41;25;Female;Central African Republic;tell;Neutral
LinkedIn;eb44a413-146b-48f6-9613-b28f4f6db540;Link;Fact miss time number wide red break.;897;337;125;7284;2401;56.60;20;Female;Bouvet Island (Bouvetoya);stage;Positive
Instagram;7b538846-0d09-4f5e-97bf-1acf5d7c2cf6;Image;Share much because speak see.;378;23;162;3402;2405;23.41;52;Female;Brunei Darussalam;require;Neutral
Facebook;a344d906-55d0-46ad-9945-79fb9735996e;Image;Call us long evening floor.;574;41;31;8529;1150;56.17;39;Female;Argentina;before;Negative
Facebook;fc14e9dd-c5fb-4de6-88ec-07f0b2c8829c;Video;Note star account page interview direction main war.;376;25;172;9855;4202;13.64;34;Female;Sudan;realize;Positive
Facebook;598e33e3-59b4-4054-b138-0a5915e8f2c5;Link;Protect save attention short quality.;877;128;78;1384;660;164.09;25;Female;Afghanistan;quality;Positive
Instagram;cc95044a-8e88-4ccd-b012-316c4637dd78;Image;Strategy threat structure reality law hospital else.;952;151;33;9780;1125;100.98;59;Male;Reunion;television;Negative
